 _   _                           _        _     _     _   
| | | |_ __   __ _ _ __ __ _  __| | ___  | |   (_)___| |_ 
| | | | '_ \ / _` | '__/ _` |/ _` |/ _ \ | |   | / __| __|
| |_| | |_) | (_| | | | (_| | (_| |  __/ | |___| \__ \ |_ 
 \___/| .__/ \__, |_|  \__,_|\__,_|\___| |_____|_|___/\__|
      |_|    |___/                                        
Listing...
adduser/kali-rolling 3.152 all [upgradable from: 3.150]
apt-utils/kali-rolling 3.0.1+kali1 amd64 [upgradable from: 3.0.0+kali1]
apt/kali-rolling 3.0.1+kali1 amd64 [upgradable from: 3.0.0+kali1]
at-spi2-common/kali-rolling 2.56.2-1 all [upgradable from: 2.56.1-2]
at-spi2-core/kali-rolling 2.56.2-1 amd64 [upgradable from: 2.56.1-2]
base-files/kali-rolling 1:2025.2.0 amd64 [upgradable from: 1:2025.1.0]
bash/kali-rolling 5.2.37-2+b2 amd64 [upgradable from: 5.2.37-2]
bat/kali-rolling 0.25.0-2+b2 amd64 [upgradable from: 0.25.0-2+b1]
bind9-dnsutils/kali-rolling 1:9.20.9-1 amd64 [upgradable from: 1:9.20.8-6]
bind9-host/kali-rolling 1:9.20.9-1 amd64 [upgradable from: 1:9.20.8-6]
bind9-libs/kali-rolling 1:9.20.9-1 amd64 [upgradable from: 1:9.20.8-6]
burpsuite/kali-rolling 2025.3.4-0kali1 amd64 [upgradable from: 2025.2.4-0kali1]
certipy-ad/kali-rolling 5.0.2-0kali1 all [upgradable from: 4.8.2-0kali1]
chromium-common/kali-rolling 136.0.7103.113-1 amd64 [upgradable from: 135.0.7049.95-1]
chromium-sandbox/kali-rolling 136.0.7103.113-1 amd64 [upgradable from: 135.0.7049.95-1]
chromium/kali-rolling 136.0.7103.113-1 amd64 [upgradable from: 135.0.7049.95-1]
console-setup-linux/kali-rolling 1.237 all [upgradable from: 1.236]
console-setup/kali-rolling 1.237 all [upgradable from: 1.236]
cryptsetup-bin/kali-rolling 2:2.7.5-2 amd64 [upgradable from: 2:2.7.5-1]
cryptsetup-initramfs/kali-rolling 2:2.7.5-2 all [upgradable from: 2:2.7.5-1]
cryptsetup/kali-rolling 2:2.7.5-2 amd64 [upgradable from: 2:2.7.5-1]
curl/kali-rolling 8.13.0-5 amd64 [upgradable from: 8.13.0-1]
desktop-base/kali-rolling 13.0.2+kali1 all [upgradable from: 13.0.0~pre1+kali1]
dhcpcd-base/kali-rolling 1:10.1.0-10 amd64 [upgradable from: 1:10.1.0-8]
dirmngr/kali-rolling 2.4.7-17 amd64 [upgradable from: 2.4.7-15]
dmsetup/kali-rolling 2:1.02.205-2 amd64 [upgradable from: 2:1.02.205-1]
exploitdb/kali-rolling 20250522-0kali1 all [upgradable from: 20250420-0kali1]
faraday/kali-rolling 5.14.0-0kali1 all [upgradable from: 5.13.0-0kali1]
ffuf/kali-rolling 2.1.0-1+b8 amd64 [upgradable from: 2.1.0-1+b7]
firefox-esr/kali-rolling 128.10.1esr-1 amd64 [upgradable from: 128.9.0esr-2]
firmware-amd-graphics/kali-rolling 20250410-2 all [upgradable from: 20241210-1]
firmware-atheros/kali-rolling 20250410-2 all [upgradable from: 20241210-1]
